Ortschaftsname;PLZ;Gemeindename;Kantonskürzel
Grafstal;8310;Lindau;ZH
Graltshausen;8572;Berg (TG);TG
Grancia;6916;Grancia;TI
Grancy;1117;Grancy;VD
Grand-Lancy;1212;Lancy;GE
Grandcour;1543;Grandcour;VD
Grandevent;1421;Grandevent;VD
Grandfontaine;2908;Grandfontaine;JU
Grandsivaz;1775;Montagny (FR);FR
Grandson;1422;Grandson;VD
Grandval;2745;Grandval;BE
Grandvaux;1091;Bourg-en-Lavaux;VD
Grandvillard;1666;Grandvillard;FR
Granges (Veveyse);1614;Granges (Veveyse);FR
Granges VS;3977;Sierre;VS
Granges-Paccot;1763;Granges-Paccot;FR
Granges-de-Vesin;1484;Les Montets;FR
Granges-près-Marnand;1523;Valbroye;VD
Grangettes-près-Romont;1686;Grangettes;FR
Granois (Savièse);1965;Savièse;VS
Grasswil;3365;Seeberg;BE
Grattavache;1624;La Verrerie;FR
Gravesano;6929;Gravesano;TI
Greich;3983;Riederalp;VS
Greifensee;8606;Greifensee;ZH
Grellingen;4203;Grellingen;BL
Grenchen;2540;Grenchen;SO
Greng;3280;Greng;FR
Grengiols;3993;Grengiols;VS
Grenilles;1726;Farvagny;FR
Grens;1274;Grens;VD
Greppen;6404;Greppen;LU
Gresso;6611;Gresso;TI
Gressy;1432;Yverdon-les-Bains;VD
Gretschins;9479;Wartau;SG
Gretzenbach;5014;Gretzenbach;SO
Grimentz;3961;Anniviers;VS
Grimisuat;1971;Grimisuat;VS
Grindel;4247;Grindel;SO
Grindelwald;3818;Grindelwald;BE
Grolley;1772;Grolley;FR
Grono;6537;Grono;GR
Gross;8841;Einsiedeln;SZ
Grossaffoltern;3257;Grossaffoltern;BE
Grossdietwil;6146;Grossdietwil;LU
Grosshöchstetten;3506;Grosshöchstetten;BE
Grosswangen;6022;Grosswangen;LU
Grub AR;9035;Grub (AR);AR
Grub SG;9036;Eggersriet;SG
Gruben;3946;Turtmann-Unterems;VS
Grugnay (Chamoson);1955;Chamoson;VS
Grund b. Gstaad;3783;Saanen;BE
Gruyères;1663;Gruyères;FR
Gryon;1882;Gryon;VD
Grächen;3925;Grächen;VS
Gränichen;5722;Gränichen;AG
Gräslikon;8415;Berg am Irchel;ZH
Grône;3979;Grône;VS
Grünen;3455;Sumiswald;BE
Grünenmatt;3452;Lützelflüh;BE
Grüningen;8627;Grüningen;ZH
Grüsch;7214;Grüsch;GR
Grüt (Gossau ZH);8624;Gossau (ZH);ZH
Gstaad;3780;Saanen;BE
Gsteig b. Gstaad;3785;Gsteig;BE
Gsteigwiler;3814;Gsteigwiler;BE
Guarda;7545;Scuol;GR
Gudo;6515;Gudo;TI
Guggisberg;3158;Guggisberg;BE
Gumefens;1643;Pont-en-Ogoz;FR
Gundetswil;8543;Wiesendangen;ZH
Guntalingen;8468;Waltalingen;ZH
Gunten;3654;Sigriswil;BE
Guntershausen b. Aadorf;8357;Aadorf;TG
Guntershausen b. Berg;8572;Berg (TG);TG
Gunterswilen;8564;Wäldi;TG
Guntmadingen;8223;Beringen;SH
Gunzgen;4617;Gunzgen;SO
Gunzwil;6222;Beromünster;LU
Gurbrü;3208;Gurbrü;BE
Gurmels;3212;Gurmels;FR
Gurtnellen;6482;Gurtnellen;UR
Gurzelen;3663;Gurzelen;BE
Guschelmuth;1792;Gurmels;FR
Gutenburg;4932;Madiswil;BE
Gutenswil;8605;Volketswil;ZH
Guttannen;3864;Guttannen;BE
Guttet-Feschel;3956;Guttet-Feschel;VS
Gwatt (Thun);3645;Spiez;BE
Gy;1251;Gy;GE
Gysenstein;3503;Konolfingen;BE
Gächlingen;8214;Gächlingen;SH
Gächliwil;4584;Lüterswil-Gächliwil;SO
Gähwil;9534;Kirchberg (SG);SG
Gänsbrunnen;4716;Gänsbrunnen;SO
Göschenen;6487;Göschenen;UR
Götighofen;8583;Sulgen;TG
Gümligen;3073;Muri bei Bern;BE
Gümmenen;3205;Mühleberg;BE
Gündisau;8322;Russikon;ZH
Gündlischwand;3815;Gündlischwand;BE
Günsberg;4524;Günsberg;SO
Güttingen;8594;Güttingen;TG
Haag (Rheintal);9469;Sennwald;SG
Habkern;3804;Habkern;BE
Habsburg;5245;Habsburg;AG
Hagenbuch ZH;8523;Hagenbuch;ZH
Hagendorn;6332;Cham;ZG
Hagenwil b. Amriswil;8580;Amriswil;TG
Hagneck;2575;Hagneck;BE
Halden;9223;Bischofszell;TG
Haldenstein;7023;Haldenstein;GR
Haldi b. Schattdorf;6469;Schattdorf;UR
Hallau;8215;Hallau;SH
Hallwil;5705;Hallwil;AG
Halten;4566;Halten;SO
Happerswil;8585;Birwinken;TG
Harenwilen;8553;Hüttlingen;TG
Hasle LU;6166;Hasle (LU);LU
Hasle b. Burgdorf;3415;Hasle bei Burgdorf;BE
Haslen AI;9054;Schlatt-Haslen;AI
Haslen GL;8773;Glarus Süd;GL
Hasliberg Goldern;6085;Hasliberg;BE
Hasliberg Hohfluh;6083;Hasliberg;BE
Hasliberg Reuti;6086;Hasliberg;BE
Hasliberg Wasserwendi;6084;Hasliberg;BE
Hattenhausen;8564;Wäldi;TG
Hauenstein;4633;Hauenstein-Ifenthal;SO
Hauptikon;8926;Kappel am Albis;ZH
Hauptwil;9213;Hauptwil-Gottshaus;TG
Hausen AG;5212;Hausen (AG);AG
Hausen am Albis;8915;Hausen am Albis;ZH
Haute-Nendaz;1997;Nendaz;VS
Hauterive NE;2068;Hauterive (NE);NE
Hauteville;1648;Hauteville;FR
Hedingen;8908;Hedingen;ZH
Heerbrugg;9435;Au (SG);SG
Hefenhausen;8564;Wäldi;TG
Hefenhofen;8580;Hefenhofen;TG
Heiden;9410;Heiden;AR
Heiligenschwendi;3625;Heiligenschwendi;BE
Heiligkreuz (Mels);8888;Mels;SG
Heimberg;3627;Heimberg;BE
Heimenhausen;3373;Heimenhausen;BE
Heimenschwand;3615;Buchholterberg;BE
Heimisbach;3453;Trachselwald;BE
Heimiswil;3412;Heimiswil;BE
Heinrichswil;4558;Drei Höfe;SO
Heitenried;1714;Heitenried;FR
Heldswil;9216;Hohentannen;TG
Helgisried-Rohrbach;3155;Rüeggisberg;BE
Hellbühl;6016;Neuenkirch;LU
Hellikon;4316;Hellikon;AG
Hellsau;3429;Hellsau;BE
Hemberg;9633;Hemberg;SG
Hemishofen;8261;Hemishofen;SH
Hemmental;8231;Schaffhausen;SH
Hemmiken;4465;Hemmiken;BL
Henau;9247;Uzwil;SG
Hendschiken;5604;Hendschiken;AG
Henggart;8444;Henggart;ZH
Hennens;1681;Billens-Hennens;FR
Henniez;1525;Henniez;VD
Herbetswil;4715;Herbetswil;SO
Herbligen;3671;Herbligen;BE
Herbriggen;3927;St. Niklaus;VS
Herdern;8535;Herdern;TG
Hergiswil NW;6052;Hergiswil (NW);NW
Hergiswil b. Willisau;6133;Hergiswil bei Willisau;LU
Herisau;9100;Herisau;AR
Herlisberg;6028;Römerswil;LU
Hermance;1248;Hermance;GE
Hermenches;1513;Hermenches;VD
Hermetschwil-Staffeln;5626;Bremgarten (AG);AG
Hermiswil;3475;Hermiswil;BE
Hermrigen;3274;Hermrigen;BE
Herrenhof;8585;Langrickenbach;TG
Herrenschwanden;3037;Kirchlindach;BE
Herrliberg;8704;Herrliberg;ZH
Hersberg;4423;Hersberg;BL
Hersiwil;4558;Drei Höfe;SO
Hertenstein AG;5415;Obersiggenthal;AG
Herznach;5027;Herznach;AG
Herzogenbuchsee;3360;Herzogenbuchsee;BE
Hessigkofen;4577;Buchegg;SO
Hettenschwil;5317;Leuggern;AG
Hettiswil b. Hindelbank;3325;Krauchthal;BE
Hettlingen;8442;Hettlingen;ZH
Hildisrieden;6024;Hildisrieden;LU
Hilfikon;5613;Villmergen;AG
Hilterfingen;3652;Hilterfingen;BE
Himmelried;4204;Himmelried;SO
Hindelbank;3324;Hindelbank;BE
Hinteregg;8132;Egg;ZH
Hinterforst;9452;Altstätten;SG
Hinterfultigen;3089;Rüeggisberg;BE
Hinterkappelen;3032;Wohlen bei Bern;BE
Hintermoos;6260;Wikon;LU
Hinterrhein;7438;Hinterrhein;GR
Hinwil;8340;Hinwil;ZH
Hirschthal;5042;Hirschthal;AG
Hirzel;8816;Hirzel;ZH
Hittnau;8335;Hittnau;ZH
Hitzkirch;6285;Hitzkirch;LU
Hochdorf;6280;Hochdorf;LU
Hochfelden;8182;Hochfelden;ZH
Hochwald;4146;Hochwald;SO
Hofen SH;8242;Thayngen;SH
Hoffeld;9114;Neckertal;SG
Hofstatt;6154;Luthern;LU
Hofstetten SO;4114;Hofstetten-Flüh;SO
Hofstetten ZH;8354;Hofstetten (ZH);ZH
Hofstetten b. Brienz;3858;Hofstetten bei Brienz;BE
Hohenrain;6276;Hohenrain;LU
Hohentannen;9216;Hohentannen;TG
Hohtenn;3949;Steg-Hohtenn;VS
Holderbank AG;5113;Holderbank (AG);AG
Holderbank SO;4718;Holderbank (SO);SO
Holzhäusern ZG;6343;Risch;ZG
Holziken;5043;Holziken;AG
Homberg b. Thun;3622;Homberg;BE
Hombrechtikon;8634;Hombrechtikon;ZH
Homburg;8508;Homburg;TG
Honau;6038;Honau;LU
Hondrich;3702;Spiez;BE
Horboden;3755;Diemtigen;BE
Horgen;8810;Horgen;ZH
Horgenberg;8815;Horgen;ZH
Horn;9326;Horn;TG
Hornussen;5075;Hornussen;AG
Horrenbach;3623;Horrenbach-Buchen;BE
Horriwil;4557;Horriwil;SO
Horw;6048;Horw;LU
Hosenruck;9515;Wuppenau;TG
Hospental;6493;Hospental;UR
Hottwil;5277;Mettauertal;AG
Hubersdorf;4535;Hubersdorf;SO
Hugelshofen;8565;Kemmental;TG
Humlikon;8457;Humlikon;ZH
Hundwil;9064;Hundwil;AR
Hunzenschwil;5502;Hunzenschwil;AG
Hurden;8640;Freienbach;SZ
Huttwil;4950;Huttwil;BE
Huémoz;1884;Ollon;VD
Häfelfingen;4445;Häfelfingen;BL
Hägendorf;4614;Hägendorf;SO
Häggenschwil;9312;Häggenschwil;SG
Hägglingen;5607;Hägglingen;AG
Hämikon;6289;Hitzkirch;LU
Hämikon;6289;Hitzkirch;LU
Härkingen;4624;Härkingen;SO
Hätzingen;8775;Glarus Süd;GL
Häusernmoos im Emmental;3463;Affoltern im Emmental;BE
Häuslenen;8522;Aadorf;TG
Häutligen;3510;Häutligen;BE
Hérémence;1987;Hérémence;VS
Höchstetten;3429;Höchstetten;BE
Höfen b. Thun;3631;Stocken-Höfen;BE
Hölstein;4434;Hölstein;BL
Hörhausen;8507;Homburg;TG
Höri;8181;Höri;ZH
Hünenberg;6331;Hünenberg;ZG
Hünenberg See;6333;Hünenberg;ZG
Hünibach;3626;Hilterfingen;BE
Hüniken;4554;Hüniken;SO
Hünikon (Neftenbach);8412;Neftenbach;ZH
Hüntwangen;8194;Hüntwangen;ZH
Hüswil;6152;Zell (LU);LU
Hütten;8825;Hütten;ZH
Hüttikon;8115;Hüttikon;ZH
Hüttlingen;8553;Hüttlingen;TG
Hüttwilen;8536;Hüttwilen;TG
Ibach;6438;Schwyz;SZ
Ichertswil;4571;Lüterkofen-Ichertswil;SO
Icogne;1977;Icogne;VS
Iffwil;3305;Iffwil;BE
Igis;7206;Landquart;GR
Ilanz;7130;Ilanz/Glion;GR
Illgau;6434;Illgau;SZ
Illhart;8556;Wigoltingen;TG
Illighausen;8574;Lengwil;TG
Illnau;8308;Illnau-Effretikon;ZH
Im Fang;1656;Jaun;FR
Immensee;6405;Küssnacht (SZ);SZ
Indemini;6571;Gambarogno;TI
Inden;3953;Inden;VS
Inkwil;3375;Inkwil;BE
Innerberg;3044;Wohlen bei Bern;BE
Innereriz;3619;Eriz;BE
Innerferrera;7445;Ferrera;GR
Innerferrera;7445;Ferrera;GR
Innerthal;8858;Innerthal;SZ
Innertkirchen;3862;Innertkirchen;BE
Ins;3232;Ins;BE
Insone;6951;Lugano;TI
Interlaken;3800;Gündlischwand;BE
Interlaken;3800;Interlaken;BE
Intragna;6655;Centovalli;TI
Intschi;6476;Gurtnellen;UR
Inwil;6034;Inwil;LU
Ipsach;2563;Ipsach;BE
Iragna;6707;Iragna;TI
Iseltwald;3807;Iseltwald;BE
Isenfluh;3822;Lauterbrunnen;BE
Isenthal;6461;Isenthal;UR
Iseo;6993;Bioggio;TI
Islikon;8546;Gachnang;TG
Islisberg;8905;Islisberg;AG
Isole di Brissago;6614;Brissago;TI
Isone;6810;Isone;TI
Istighofen;8575;Bürglen (TG);TG
Isérables;1914;Isérables;VS
Itingen;4452;Itingen;BL
Ittenthal;5083;Kaisten;AG
Ittigen;3063;Ittigen;BE
Jaberg;3629;Jaberg;BE
Jakobsbad;9108;Gonten;AI
Jaun;1656;Jaun;FR
Jegenstorf;3303;Jegenstorf;BE
Jenaz;7233;Jenaz;GR
Jenins;7307;Jenins;GR
Jens;2565;Jens;BE
Jeuss;1793;Jeuss;FR
Jona;8645;Rapperswil-Jona;SG
Jonen;8916;Jonen;AG
Jongny;1805;Jongny;VD
Jonschwil;9243;Jonschwil;SG
Jouxtens-Mézery;1008;Jouxtens-Mézery;VD
Juf;7448;Avers;GR
Jungfraujoch;3801;Fieschertal;VS
Juriens;1326;Juriens;VD
Jussy;1254;Jussy;GE
Kaiseraugst;4303;Kaiseraugst;AG
Kaiserstuhl AG;5466;Kaiserstuhl;AG
Kaisten;5082;Kaisten;AG
Kallern;5625;Kallern;AG
Kallnach;3283;Kallnach;BE
Kalpetran;3922;Embd;VS
Kaltacker;3413;Heimiswil;BE
Kaltbach;6212;Mauensee;LU
Kaltbrunn;8722;Kaltbrunn;SG
Kaltenbach;8259;Wagenhausen;TG
Kammersrohr;4535;Kammersrohr;SO
Kandergrund;3716;Kandergrund;BE
Kandersteg;3718;Kandersteg;BE
Kappel SO;4616;Kappel (SO);SO
Kappel am Albis;8926;Kappel am Albis;ZH
Kappelen;3273;Kappelen;BE
Kastanienbaum;6047;Horw;LU
Kaufdorf;3126;Kaufdorf;BE
Kefikon TG;8546;Gachnang;TG
Kefikon ZH;8543;Wiesendangen;ZH
Kehrsatz;3122;Kehrsatz;BE
Kehrsiten;6365;Stansstad;NW
Kemptthal;8310;Winterthur;ZH
Kernenried;3309;Kernenried;BE
Kerns;6064;Kerns;OW
Kerzers;3210;Kerzers;FR
Kesswil;8593;Kesswil;TG
Kestenholz;4703;Kestenholz;SO
Kienberg;4468;Kienberg;SO
Kiental;3723;Reichenbach im Kandertal;BE
Kiesen;3629;Kiesen;BE
Kilchberg BL;4496;Kilchberg (BL);BL
Kilchberg ZH;8802;Kilchberg (ZH);ZH
Killwangen;8956;Killwangen;AG
Kippel;3917;Kippel;VS
Kirchberg BE;3422;Kirchberg (BE);BE
Kirchberg SG;9533;Kirchberg (SG);SG
Kirchdorf AG;5416;Obersiggenthal;AG
Kirchdorf BE;3116;Kirchdorf (BE);BE
Kirchenthurnen;3128;Kirchenthurnen;BE
Kirchleerau;5054;Kirchleerau;AG
Kirchlindach;3038;Kirchlindach;BE
Klarsreuti;8585;Birwinken;TG
Kleinandelfingen;8451;Kleinandelfingen;ZH
Kleinbösingen;3213;Kleinbösingen;FR
Kleindietwil;4936;Madiswil;BE
Kleindöttingen;5314;Böttstein;AG
Kleine Scheidegg;3823;Lauterbrunnen;BE
Kleingurmels;3212;Gurmels;FR
Kleinlützel;4245;Kleinlützel;SO
Kleinwangen;6277;Hohenrain;LU
Klingnau;5313;Klingnau;AG
Kloster Fahr;8109;Würenlos;AG
Klosters;7250;Klosters-Serneus;GR
Klosters Dorf;7252;Klosters-Serneus;GR
Kloten;8302;Kloten;ZH
Klöntal;8750;Glarus;GL
Knoblisbühl;8881;Walenstadt;SG
Knonau;8934;Knonau;ZH
Knutwil;6213;Knutwil;LU
Koblenz;5322;Koblenz;AG
Kollbrunn;8483;Zell (ZH);ZH
Konolfingen;3510;Konolfingen;BE
Koppigen;3425;Koppigen;BE
Kottwil;6217;Ettiswil;LU
Kradolf;9214;Kradolf-Schönenberg;TG
Krattigen;3704;Krattigen;BE
Krauchthal;3326;Krauchthal;BE
Kreuzlingen;8280;Kreuzlingen;TG
Kriechenwil;3179;Kriechenwil;BE
Kriegstetten;4566;Kriegstetten;SO
Kriens;6010;Alpnach;OW
Kriens;6010;Kriens;LU
Kriessern;9451;Oberriet (SG);SG
Krinau;9622;Wattwil;SG
Krummenau;9643;Nesslau;SG
Kräiligen;3315;Bätterkinden;BE
Kulmerau;6234;Triengen;LU
Kyburg;8314;Kyburg;ZH
Kyburg-Buchegg;4586;Buchegg;SO
Kägiswil;6056;Sarnen;OW
Känerkinden;4447;Känerkinden;BL
Kölliken;5742;Kölliken;AG
Köniz;3098;Köniz;BE
Küblis;7240;Küblis;GR
Kümmertshausen;8586;Erlen;TG
Künten;5444;Künten;AG
Küsnacht ZH;8700;Küsnacht (ZH);ZH
Küssnacht am Rigi;6403;Küssnacht (SZ);SZ
Küttigen;5024;Küttigen;AG
Küttigkofen;4581;Buchegg;SO
L'Abbaye;1344;L'Abbaye;VD
L'Abergement;1355;L'Abergement;VD
L'Auberson;1454;Sainte-Croix;VD
L'Etivaz;1660;Château-d'Oex;VD
L'Isle;1148;L'Isle;VD
La Brévine;2406;La Brévine;NE
La Chaux (Cossonay);1308;La Chaux (Cossonay);VD
La Chaux-de-Fonds;2300;La Chaux-de-Fonds;NE
La Chaux-des-Breuleux;2345;La Chaux-des-Breuleux;JU
La Chaux-du-Milieu;2405;La Chaux-du-Milieu;NE
La Châtagne;2406;La Brévine;NE
La Cibourg;2300;La Chaux-de-Fonds;NE
La Cibourg;2333;La Ferrière;BE
La Cibourg;2616;Renan (BE);BE
La Comballaz;1862;Ormont-Dessous;VD
La Conversion;1093;Lutry;VD
La Corbaz;1782;La Sonnaz;FR
La Coudre;1148;L'Isle;VD
La Croix (Lutry);1090;Lutry;VD
La Croix-de-Rozon;1257;Bardonnex;GE
La Cure;1265;Saint-Cergue;VD
La Côte-aux-Fées;2117;La Côte-aux-Fées;NE
La Ferrière;2333;La Ferrière;BE
La Forclaz VD;1866;Ormont-Dessous;VD
La Forclaz VS;1985;Evolène;VS
La Fouly VS;1944;Orsières;VS
La Garde (Sembrancher);1933;Sembrancher;VS
La Heutte;2604;Péry-La Heutte;BE
La Joux FR;1697;Vuisternens-devant-Romont;FR
La Lécherette;1660;Château-d'Oex;VD
La Magne;1687;Vuisternens-devant-Romont;FR
La Muraz (Savièse);1965;Savièse;VS
La Neirigue;1686;Vuisternens-devant-Romont;FR
La Neuveville;2520;La Neuveville;BE
La Place (Ayent);1966;Ayent;VS
La Plaine;1283;Dardagny;GE
La Praz;1148;La Praz;VD
La Punt-Chamues-ch;7522;La Punt-Chamues-ch;GR
La Rippe;1278;La Rippe;VD
La Roche FR;1634;La Roche;FR
La Russille;1356;Les Clées;VD
La Rösa;7742;Poschiavo;GR
La Sage;1985;Evolène;VS
La Sagne (Ste-Croix);1450;Sainte-Croix;VD
La Sagne NE;2314;La Sagne;NE
La Sarraz;1315;La Sarraz;VD
La Tanne;2720;Tavannes;BE
La Tine;1658;Rossinière;VD
La Tour VS;1984;Evolène;VS
La Tour-de-Peilz;1814;La Tour-de-Peilz;VD
La Tour-de-Trême;1635;Bulle;FR
La Tzoumaz;1918;Riddes;VS
La Vernaz (Les Agettes);1992;Les Agettes;VS
La Verrerie;1624;Semsales;FR
La Vraconnaz;1454;Sainte-Croix;VD
La Vue-des-Alpes;2052;Val-de-Ruz;NE
Laax GR;7031;Laax;GR
Laax GR 2;7032;Laax;GR
Lachen SZ;8853;Lachen;SZ
Laconnex;1287;Laconnex;GE
Ladir;7155;Ilanz/Glion;GR
Ladir;7155;Ilanz/Glion;GR
Lajoux JU;2718;Lajoux (JU);JU
Lalden;3931;Lalden;VS
Lamboing;2516;Plateau de Diesse;BE
Lamone;6814;Lamone;TI
Lampenberg;4432;Lampenberg;BL
Lamperswil TG;8556;Wigoltingen;TG
Landiswil;3434;Landiswil;BE
Landquart;7302;Landquart;GR
Landschlacht;8597;Münsterlingen;TG
Langenbruck;4438;Langenbruck;BL
Langendorf;4513;Langendorf;SO
Langenthal;4900;Langenthal;BE
Langnau am Albis;8135;Langnau am Albis;ZH
Langnau b. Reiden;6262;Reiden;LU
Langnau im Emmental;3550;Langnau im Emmental;BE
Langrickenbach;8585;Langrickenbach;TG
Langwies;7057;Arosa;GR
Langwiesen;8246;Feuerthalen;ZH
Lanna;1983;Evolène;VS
Lanterswil;9503;Bussnang;TG
Lantsch/Lenz;7083;Lantsch/Lenz;GR
Lanzenhäusern;3148;Schwarzenburg;BE
Lanzenneunforn;8506;Herdern;TG
Largario;6724;Acquarossa;TI
Latsch;7484;Bergün/Bravuogn;GR
Latterbach;3758;Erlenbach im Simmental;BE
Lauenen b. Gstaad;3782;Lauenen;BE
Lauerz;6424;Lauerz;SZ
Laufen;4242;Laufen;BL
Laufenburg;5080;Laufenburg;AG
Laupen BE;3177;Laupen;BE
Laupen ZH;8637;Wald (ZH);ZH
Laupersdorf;4712;Laupersdorf;SO
Lauperswil;3438;Lauperswil;BE
Laura;6549;Roveredo (GR);GR
Lausanne;1006;Lac Léman (VD);VD
Lausanne;1015;Lac Léman (VD);VD
Lausanne;1003;Lausanne;VD
Lausanne;1005;Lausanne;VD
Lausanne;1011;Lausanne;VD
Lausanne;1012;Lausanne;VD
Lausanne;1010;Lausanne;VD
Lausanne;1004;Lausanne;VD
Lausanne;1007;Lausanne;VD
Lausanne;1018;Lausanne;VD
Lausanne 25;1000;Lausanne;VD
Lausanne 26;1000;Lausanne;VD
Lausanne 27;1000;Lausanne;VD
Lausen;4415;Lausen;BL
Lauterbrunnen;3822;Lauterbrunnen;BE
Lauwil;4426;Lauwil;BL
Lavertezzo;6633;Lavertezzo;TI
Lavey-Village;1892;Lavey-Morcles;VD
Lavey-les-Bains;1892;Lavey-Morcles;VD
Lavigny;1175;Lavigny;VD
Lavin;7543;Zernez;GR
Lavorgo;6746;Faido;TI
Lax;3994;Lax;VS
Le Brassus;1348;Le Chenit;VD
Le Brouillet;2406;La Brévine;NE
Le Bry;1645;Pont-en-Ogoz;FR
Le Bémont JU;2360;Le Bémont (JU);JU
Le Cerneux-Péquignot;2414;Le Cerneux-Péquignot;NE
Le Cerneux-Veusil;2345;Saint-Imier;BE
Le Châble VS;1934;Bagnes;VS
Le Château-de-Ste-Croix;1450;Sainte-Croix;VD
Le Châtelard VS;1925;Finhaut;VS
Le Châtelard-près-Romont;1689;Le Châtelard;FR
Le Crêt-du-Locle;2322;La Chaux-de-Fonds;NE
Le Crêt-près-Semsales;1611;La Verrerie;FR
Le Fuet;2712;Saicourt;BE
Le Grand-Saconnex;1218;Le Grand-Saconnex;GE
Le Landeron;2525;Le Landeron;NE
Le Lieu;1345;Le Lieu;VD
Le Lignon;1219;Vernier;GE
Le Locle;2400;;
Le Locle;2400;Le Locle;NE
Le Mont-Pèlerin;1801;Chardonne;VD
Le Mont-sur-Lausanne;1052;Le Mont-sur-Lausanne;VD
Le Mouret;1724;Le Mouret;FR
Le Noirmont;2340;Le Noirmont;JU
Le Pont;1342;L'Abbaye;VD
Le Prese;7746;Poschiavo;GR
Le Prédame;2714;Les Genevez (JU);JU
Le Prévoux;2400;Le Locle;NE
Le Pâquier NE;2058;Val-de-Ruz;NE
Le Pâquier-Montbarry;1661;Le Pâquier (FR);FR
Le Sentier;1347;Le Chenit;VD
Le Solliat;1347;Le Chenit;VD
Le Séchey;1345;Le Lieu;VD
Le Sépey;1863;Ormont-Dessous;VD
Le Trétien;1923;Salvan;VS
Le Vaud;1261;Le Vaud;VD
Leggia;6556;Leggia;GR
Leibstadt;5325;Leibstadt;AG
Leimbach AG;5733;Leimbach (AG);AG
Leimbach TG;8584;Bürglen (TG);TG
Leimiswil;4935;Madiswil;BE
Leissigen;3706;Leissigen;BE
Lenggenwil;9525;Niederhelfenschwil;SG
Lengnau AG;5426;Lengnau (AG);AG
Lengnau BE;2543;Lengnau (BE);BE
Lengwil;8574;Lengwil;TG
Lengwil;8574;Lengwil;TG
Lenk im Simmental;3775;Lenk;BE
Lens;1978;Lens;VS
Lentigny;1745;La Brillaz;FR
Lenzburg;5600;Lenzburg;AG
Lenzerheide/Lai;7078;Vaz/Obervaz;GR
Leontica;6716;Acquarossa;TI
Les Acacias;1227;Genève;GE
Les Agettes;1992;Les Agettes;VS
Les Avanchets;1220;Vernier;GE
Les Avants;1833;Montreux;VD
Les Bayards;2127;Val-de-Travers;NE
Les Bioux;1346;L'Abbaye;VD
Les Bois;2336;Les Bois;JU
Les Brenets;2416;Les Brenets;NE
Les Breuleux;2345;Les Breuleux;JU
Les Charbonnières;1343;Le Lieu;VD
Les Clées;1356;Les Clées;VD
Les Collons;1988;Vex;VS
Les Crosets;1873;Val-d'Illiez;VS
Les Cullayes;1080;Servion;VD
Les Diablerets;1865;Ormont-Dessus;VD
Les Ecasseys;1697;Vuisternens-devant-Romont;FR
Les Ecorcheresses;2748;Petit-Val;BE
Les Emibois;2338;Muriaux;JU
Les Enfers;2363;Les Enfers;JU
Les Evouettes;1897;Port-Valais;VS
Les Friques;1566;Saint-Aubin (FR);FR
Les Geneveys-sur-Coffrane;2206;Val-de-Ruz;NE
Les Genevez JU;2714;Les Genevez (JU);JU
Les Giettes;1871;Monthey;VS
Les Granges (Salvan);1922;Salvan;VS
Les Haudères;1984;Evolène;VS
Les Hauts-Geneveys;2208;Val-de-Ruz;NE
Les Marécottes;1923;Salvan;VS
Les Mayens-de-Sion;1992;Les Agettes;VS
Les Monts-de-Corsier;1808;Corsier-sur-Vevey;VD
Les Monts-de-Pully;1068;Pully;VD
Les Mosses;1862;Ormont-Dessous;VD
Les Moulins;1660;Château-d'Oex;VD
Les Moulins VS (Liddes);1945;Liddes;VS
Les Paccots;1619;Châtel-Saint-Denis;FR
Les Planchettes;2325;Les Planchettes;NE
Les Plans-sur-Bex;1880;Bex;VD
Les Pommerats;2353;Saignelégier;JU
Les Pontins;2610;Saint-Imier;BE
Les Ponts-de-Martel;2316;Les Ponts-de-Martel;NE
Les Posses-sur-Bex;1880;Bex;VD
Les Prés-d'Orvin;2534;Orvin;BE
Les Rasses;1452;Bullet;VD
Les Reussilles;2722;Tramelan;BE
Les Sagnettes;2124;Val-de-Travers;NE
Les Sciernes-d'Albeuve;1669;Haut-Intyamon;FR
Les Taillères;2406;La Brévine;NE
Les Tavernes;1607;Oron;VD
Les Thioleyres;1607;Oron;VD
Les Valettes (Bovernier);1932;Bovernier;VS
Les Verrières;2126;Les Verrières;NE
Les Vieux-Prés;2054;Val-de-Ruz;NE
Les Vérines (Chamoson);1955;Chamoson;VS
Lessoc;1669;Haut-Intyamon;FR
Leuggelbach;8774;Glarus Süd;GL
Leuggern;5316;Leuggern;AG
Leuk Stadt;3953;Leuk;VS
Leukerbad;3954;Leukerbad;VS
Leutwil;5725;Leutwil;AG
Leuzigen;3297;Leuzigen;BE
Levron;1942;Vollèges;VS
Leysin;1854;Leysin;VD
Leytron;1912;Leytron;VS
Li Curt;7745;Poschiavo;GR
Libingen;9614;Mosnang;SG
Lichtensteig;9620;Lichtensteig;SG
Liddes;1945;Liddes;VS
Liebefeld;3097;Köniz;BE
Liebistorf;3213;Gurmels;FR
Liedertswil;4436;Liedertswil;BL
Lieffrens;1688;Vuisternens-devant-Romont;FR
Lieli LU;6277;Hohenrain;LU
Lienz;9464;Altstätten;SG
Liesberg;4253;Liesberg;BL
Liesberg Dorf;4254;Liesberg;BL
Liestal;4410;Liestal;BL
Liez (St-Martin);1969;Saint-Martin (VS);VS
Ligerz;2514;Ligerz;BE
Lignerolle;1357;Lignerolle;VD
Lignières;2523;Lignières;NE
Ligornetto;6853;Mendrisio;TI
Limpach;3317;Fraubrunnen;BE
Lindau;8315;Lindau;ZH
